incident_date,state,airport_id,airport,operator,atype,type_eng,species_id,species,damage,num_engs,incident_month,incident_year,time_of_day,time,height,speed,phase_of_flt,sky,precip
2014-07-15T00:00:00Z,Alabama,KHSV,HUNTSVILLE INTL ARPT-CARL T JONES FIELD,AMERICAN AIRLINES,A-319,D,UNKBS,Unknown bird - small,None,2,7,2014,Day,00:00.0,0,100,Take-off run,No Cloud,None
2013-08-26T00:00:00Z,Alabama,KHSV,HUNTSVILLE INTL ARPT-CARL T JONES FIELD,AMERICAN AIRLINES,MD-83,D,O2205,Mourning dove,None,2,8,2013,Day,00:00.0,0,140,Take-off run,No Cloud,None
2013-08-20T00:00:00Z,Alabama,KHSV,HUNTSVILLE INTL ARPT-CARL T JONES FIELD,AMERICAN AIRLINES,MD-83,D,O2205,Mourning dove,None,2,8,2013,Day,00:00.0,0,130,Take-off run,No Cloud,None
2013-07-21T00:00:00Z,Alabama,KBHM,BIRMINGHAM-SHUTTLESWORTH INTL,AMERICAN AIRLINES,MD-82,D,N6016,Western sandpiper,None,2,7,2013,Day,00:00.0,0,120,Take-off run,Overcast,Rain
2012-06-03T00:00:00Z,Alabama,KBHM,BIRMINGHAM-SHUTTLESWORTH INTL,AMERICAN AIRLINES,MD-82,D,1C21,Vesper bats,None,2,6,2012,Night,00:00.0,0,115,Landing Roll,No Cloud,None
2010-09-27T00:00:00Z,Alabama,KHSV,HUNTSVILLE INTL ARPT-CARL T JONES FIELD,AMERICAN AIRLINES,MD-82,D,YI,Swallows,None,2,9,2010,Day,00:00.0,0,110,Take-off run,Some Cloud,None
2009-09-27T00:00:00Z,Alabama,KHSV,HUNTSVILLE INTL ARPT-CARL T JONES FIELD,AMERICAN AIRLINES,MD-83,D,UNKBS,Unknown bird - small,None,2,9,2009,Day,00:00.0,0,110,Landing Roll,No Cloud,None
2009-07-30T00:00:00Z,Alabama,KHSV,HUNTSVILLE INTL ARPT-CARL T JONES FIELD,AMERICAN AIRLINES,MD-83,D,UNKBM,Unknown bird - medium,None,2,7,2009,Day,00:00.0,0,130,Landing Roll,Overcast,None
2005-02-13T00:00:00Z,Alabama,KHSV,HUNTSVILLE INTL ARPT-CARL T JONES FIELD,AMERICAN AIRLINES,MD-80,D,UNKBS,Unknown bird - small,None,2,2,2005,Dusk,00:00.0,0,120,Take-off run,Overcast,"Fog, Rain"
2003-07-07T00:00:00Z,Alabama,KBHM,BIRMINGHAM-SHUTTLESWORTH INTL,AMERICAN AIRLINES,MD-82,D,UNKBM,Unknown bird - medium,None,2,7,2003,Day,00:00.0,0,140,Take-off run,Some Cloud,None
